Date	Price	Open	High	Low	Vol.	Change %
2017/10/4	125.38	125.39	125.61	125.19	0	0.04
2017/10/3	125.33	125.22	125.41	125.05	954.99K	0.06
2017/10/2	125.25	125.23	125.39	124.94	1.32M	-0.05
2017/9/29	125.31	125.53	125.62	125.2	1.81M	-0.19
2017/9/28	125.55	125.42	125.56	125.06	1.67M	0.09
2017/9/27	125.44	125.94	125.95	125.31	2.01M	-0.44
2017/9/26	126	126.03	126.12	125.83	1.09M	-0.05
2017/9/25	126.06	125.75	126.14	125.72	1.26M	0.26
2017/9/22	125.73	125.59	125.94	125.58	1.23M	0.09
2017/9/21	125.62	125.69	125.91	125.56	1.29M	-0.57
2017/9/20	126.34	126.31	126.44	126.3	18.94K	0.05
2017/9/19	126.28	126.45	126.5	126.25	20.43K	-0.08
2017/9/18	126.38	126.53	126.56	126.36	4.78K	-0.17
2017/9/15	126.59	126.81	126.83	126.52	9.07K	-0.08
2017/9/14	126.69	126.8	126.81	126.47	10.96K	-0.02
2017/9/13	126.72	126.95	127.03	126.67	19.91K	-0.15
2017/9/12	126.91	127.25	127.25	126.83	14.65K	-0.27
2017/9/11	127.25	127.52	127.55	127.14	13.28K	-0.39
2017/9/8	127.75	127.86	128.11	127.64	17.31K	-0.02
2017/9/7	127.77	127.39	127.95	127.39	29.75K	0.34
2017/9/6	127.34	127.72	127.81	127.33	37.72K	-0.26
2017/9/5	127.67	127.17	127.72	127.02	76.78K	0.7
2017/9/4	126.78	126.85	126.94	126.76	0	-0.05
2017/9/3	126.84	126.92	126.92	126.82	0	-0.09
2017/9/1	126.95	127.27	127.48	126.88	123.22K	-0.24
2017/8/31	127.25	127.14	127.3	126.98	252.05K	0.13
2017/8/30	127.08	127.2	127.23	126.98	1.22M	-0.09
2017/8/29	127.19	127.03	127.59	127.03	2.64M	0.15
2017/8/28	127	126.88	127	126.8	1.95M	0.09
2017/8/25	126.88	126.67	126.95	126.62	1.95M	0.15
2017/8/24	126.69	126.94	126.95	126.67	1.75M	-0.18
2017/8/23	126.92	126.56	126.95	126.5	1.21M	0.28
2017/8/22	126.56	126.86	126.88	126.53	980.89K	-0.22
2017/8/21	126.84	126.72	126.91	126.59	857.26K	0.07
2017/8/18	126.75	126.8	127.05	126.56	1.34M	0.02
2017/8/17	126.72	126.52	126.84	126.34	1.39M	0.16
2017/8/16	126.52	126.11	126.58	126	1.35M	0.29
2017/8/15	126.16	126.55	126.56	126.02	1.21M	-0.31
